total_tx,gas_spent,avg_value,max_value,activity_days,wallet,risk_score
4,7116850800000000,7728171375000000.0,18600000000000000,0,0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,740.0
4,6986230300000000,4650000000000000.0,18600000000000000,0,0x7de76a449cf60ea3e111ff18b28e516d89532152,740.0
15,34888163519822800,2.63822e+17,3010000000000000000,2324,0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,981.16
4,5750352000000000,4000000000000000.0,16000000000000000,0,0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,740.0
7,25951367540400000,4682198957142857.0,18600000000000000,1287,0x83ea74c67d393c6894c34c464657bda2183a2f1a,962.34
24,54612337326748004,1.0905132160740136e+17,893806943561220000,1626,0x8441fecef5cc6f697be2c4fc4a36feacede8df67,987.88
4,12865305000000000,4650000000000000.0,18600000000000000,1,0x854a873b8f9bfac36a5eb9c648e285a095a7478d,840.0
5,4785410500000000,6723720100000000.0,18600000000000000,0,0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,750.0
17,65503026417935000,9608559526179650.0,37807800000000000,345,0x880a0af12da55df1197f41697c1a1b61670ed410,982.76
5,17814222891583000,4960926936210400.0,18600000000000000,1218,0x8aaece100580b749a20f8ce30338c4e0770b65ed,949.84
33,160041449130892032,1.4268724798239914e+16,105707980000000000,1387,0x8be38ea2b22b706aef313c2de81f7d179024dd30,991.03
15,64655237800000000,3.4863547306666668e+16,245000000000000000,20,0x8d900f213db5205c529aaba5d10e71a0ed2646db,971.73
4,6537504300000000,4650000000000000.0,18600000000000000,2,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,873.33
5,21424075000000000,4077024000000000.0,18600000000000000,0,0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,750.0
100,514754095983785418,1.0962723316183949e+18,7476000000000000000,24,0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,989.03
3,7911276400000000,1.1152857633333334e+16,18600000000000000,3,0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,875.0
12,88649894135252902,6647643204166667.0,20000000000000000,1836,0x9a363adc5d382c04d36b09158286328f75672098,976.81
4,7914443000000000,7704363142447914.0,18600000000000000,0,0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,740.0
60,133214058945770578,2.349988787669451e+17,2212949584000000000,2862,0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,995.01
47,1311751099731180010,0.0,0,49,0x9e6ec4e98793970a1307262ba68d37594e58cd78,689.75
4,4332726590000000,1.1e+17,440000000000000000,2033,0xa7e94d933eb0c439dda357f61244a485246e97b8,939.9
100,1879060069067436223,1.2320608468421835e+17,8000000000000000000,778,0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,996.77
